case,model,order,nMom,L1,Linf,runtime_s,iterations,converged
Gauss,PMPn,18,18,0.00907178971455058,0.0203161790948631,0.0002931,0,1
Heaviside,PMPn,18,18,0.0553317542043419,0.552198524875704,0.0003231,0,1
CrossingBeams,PMPn,18,18,1.43485293772457,10.2433887503753,0.0004306,0,1
Gauss,PMPn,20,20,0.01238253222303,0.848559691994805,0.0002947,0,1
Heaviside,PMPn,20,20,0.0147842857511824,1.02857142857145,0.0002909,0,1
CrossingBeams,PMPn,20,20,1.64634191026054,12.8412746139861,0.00028,0,1
Gauss,PMPn,22,22,0.00767690938765031,0.01576554426763,0.0002717,0,1
Heaviside,PMPn,22,22,0.044641051698642,0.546077006007255,0.0003793,0,1
CrossingBeams,PMPn,22,22,1.20005472243553,10.8613498430291,0.0004128,0,1
Gauss,PMPn,24,24,0.00871663700714462,0.842571328316501,0.0003452,0,1
